gauss-cpu;gauss-gpu;sobel-cpu;sobel-gpu
27;0,757600;3;0,046592
27;0,759776;5;0,045568
27;0,759456;3;0,045504
26;0,757824;3;0,045280
28;0,758912;4;0,046368
26;0,758848;3;0,046656
26;0,759584;3;0,045824
28;0,758752;4;0,046848
26;0,757760;3;0,045920
27;0,761280;4;0,045536
33;0,997504;4;0,045056
33;0,764704;5;0,046656
40;0,757760;3;0,045376
30;0,758144;4;0,045056
26;0,760512;5;0,045696
28;0,757760;3;0,045216
28;1,452320;4;0,046688
28;0,760416;4;0,045696
27;0,756480;4;0,045312
26;0,757760;3;0,045248
27;0,757760;4;0,045216
26;0,761536;3;0,047616
26;0,759104;3;0,045216
28;0,759808;4;0,047360
26;0,757536;4;0,045504
26;0,758016;4;0,046688
32;0,758720;3;0,046720
26;0,759040;4;0,045312
26;0,757664;4;0,045056
27;0,757568;3;0,046144
26;0,763776;4;0,049280
25;0,758016;3;0,045312
26;0,761056;4;0,047104
27;0,757504;3;0,045344
26;0,758272;3;0,045280
27;0,759808;3;0,046432
26;0,759264;3;0,046080
28;0,759200;4;0,046208
26;0,760000;4;0,045504
26;0,757920;4;0,046752
27;0,759808;3;0,046240
26;0,759360;3;0,045344
26;0,759744;4;0,047104
27;0,761184;3;0,045504
26;0,761344;4;0,048672
26;0,759296;3;0,045248
28;0,756064;5;0,046304
26;0,759808;5;0,045056
26;0,759808;3;0,046176
27;0,759296;4;0,046464
26;0,760416;3;0,045440
26;1,302208;4;0,045472
25;0,757760;3;0,046240
26;0,759008;4;0,045472
27;0,761024;4;0,045440
27;0,759808;4;0,045600
26;0,756704;4;0,046464
29;0,758784;3;0,045408
26;0,756864;4;0,045248
26;0,760192;4;0,045248
27;0,757632;4;0,046144
28;0,760160;4;0,045664
26;0,761088;3;0,045056
26;0,757856;4;0,045728
26;0,759168;4;0,046528
26;0,759040;3;0,045696
26;0,758784;4;0,046112
26;0,759808;4;0,046368
26;0,757344;4;0,045664
26;1,039424;3;0,045216
27;0,758208;3;0,046400
26;0,757024;4;0,045984
25;0,758592;4;0,046368
27;0,762016;4;0,047104
26;0,760384;3;0,045568
26;0,757120;4;0,045696
27;0,757760;3;0,045184
26;0,757792;4;0,046368
27;0,760384;3;0,045696
25;1,342976;3;0,045344
26;0,764128;4;0,045376
26;0,759648;3;0,046720
27;0,757760;3;0,045664
26;0,757888;3;0,045536
26;0,757280;4;0,045760
27;0,760352;3;0,045056
27;0,759232;3;0,045216
25;0,759808;4;0,045184
26;0,757792;3;0,045632
28;0,757536;4;0,045248
26;0,762336;4;0,045504
29;0,759808;3;0,045472
26;0,756448;4;0,046016
26;1,365696;4;0,046784
26;0,759680;3;0,046176
26;0,760000;3;0,045632
26;0,757952;3;0,045248
27;0,759552;3;0,045056
26;0,758496;3;0,046208
25;0,757760;4;0,046208
